Year,Quarter,Area of Residence,Reason for Journey,Visitor Stay Avg,Visitor Spending,Overnight Tourist Trips
2017,1,Great Britain,Holiday/leisure/recreation,3.4,74.0,38.0
2017,2,Great Britain,Holiday/leisure/recreation,4.4,118.0,24.0
2017,3,Great Britain,Holiday/leisure/recreation,5.6,129.0,23.0
2017,4,Great Britain,Holiday/leisure/recreation,3.7,89.0,31.0
2018,1,Great Britain,Holiday/leisure/recreation,3.5,83.0,35.0
2018,2,Great Britain,Holiday/leisure/recreation,4.1,119.0,24.0
2018,3,Great Britain,Holiday/leisure/recreation,5.3,130.0,21.0
2018,4,Great Britain,Holiday/leisure/recreation,3.4,89.0,28.0
2019,1,Great Britain,Holiday/leisure/recreation,3.3,77.0,33.0
2019,2,Great Britain,Holiday/leisure/recreation,4.3,115.0,23.0
2019,3,Great Britain,Holiday/leisure/recreation,5.6,141.0,22.0
2019,4,Great Britain,Holiday/leisure/recreation,3.6,90.0,30.0
2012,1,Great Britain,Other reason for journey,5.0,6.0,12.0
2012,2,Great Britain,Other reason for journey,5.4,8.0,9.0
2012,3,Great Britain,Other reason for journey,6.6,10.0,7.0
2012,4,Great Britain,Other reason for journey,3.5,11.0,19.0
2013,1,Great Britain,Other reason for journey,5.8,10.0,15.0
2013,2,Great Britain,Other reason for journey,3.0,4.0,6.0
2013,3,Great Britain,Other reason for journey,2.5,6.0,14.0
2013,4,Great Britain,Other reason for journey,2.7,5.0,12.0
2014,1,Great Britain,Other reason for journey,4.7,4.0,17.0
2014,2,Great Britain,Other reason for journey,2.5,4.0,12.0
2014,3,Great Britain,Other reason for journey,4.1,9.0,11.0
2014,4,Great Britain,Other reason for journey,2.6,7.0,21.0
2015,1,Great Britain,Other reason for journey,3.4,5.0,18.0
2015,2,Great Britain,Other reason for journey,2.1,7.0,17.0
2015,3,Great Britain,Other reason for journey,2.2,7.0,15.0
2015,4,Great Britain,Other reason for journey,1.4,5.0,18.0
2016,1,Great Britain,Other reason for journey,2.7,5.0,19.0
2016,2,Great Britain,Other reason for journey,1.4,7.0,14.0
2016,3,Great Britain,Other reason for journey,1.7,8.0,11.0
2016,4,Great Britain,Other reason for journey,1.3,8.0,17.0
2017,1,Great Britain,Other reason for journey,3.2,5.0,14.0
2017,2,Great Britain,Other reason for journey,2.0,7.0,14.0
2017,3,Great Britain,Other reason for journey,1.5,7.0,10.0
2017,4,Great Britain,Other reason for journey,2.1,11.0,13.0
2018,1,Great Britain,Other reason for journey,1.9,5.0,12.0
2018,2,Great Britain,Other reason for journey,1.3,4.0,10.0
2018,3,Great Britain,Other reason for journey,0.7,6.0,12.0
2018,4,Great Britain,Other reason for journey,1.2,4.0,15.0
2019,1,Great Britain,Other reason for journey,1.5,5.0,12.0
2019,2,Great Britain,Other reason for journey,0.9,6.0,9.0
2019,3,Great Britain,Other reason for journey,0.5,5.0,10.0
2019,4,Great Britain,Other reason for journey,1.5,8.0,13.0
2012,1,Great Britain,Visit to friends/relatives,5.7,53.0,56.0
2012,2,Great Britain,Visit to friends/relatives,5.3,70.0,62.0
2012,3,Great Britain,Visit to friends/relatives,6.0,86.0,68.0
2012,4,Great Britain,Visit to friends/relatives,5.0,64.0,60.0
2013,1,Great Britain,Visit to friends/relatives,5.7,57.0,56.0
2013,2,Great Britain,Visit to friends/relatives,5.0,59.0,60.0
2013,3,Great Britain,Visit to friends/relatives,6.6,111.0,63.0
2013,4,Great Britain,Visit to friends/relatives,5.0,79.0,60.0
2014,1,Great Britain,Visit to friends/relatives,5.8,61.0,53.0
2014,2,Great Britain,Visit to friends/relatives,5.1,75.0,57.0
2014,3,Great Britain,Visit to friends/relatives,6.4,110.0,61.0
2014,4,Great Britain,Visit to friends/relatives,4.8,71.0,59.0
2015,1,Great Britain,Visit to friends/relatives,5.5,63.0,58.0
2015,2,Great Britain,Visit to friends/relatives,4.9,76.0,57.0
2015,3,Great Britain,Visit to friends/relatives,6.2,101.0,61.0
2015,4,Great Britain,Visit to friends/relatives,4.8,76.0,54.0
2016,1,Great Britain,Visit to friends/relatives,5.1,68.0,54.0
2016,2,Great Britain,Visit to friends/relatives,5.0,82.0,56.0
2016,3,Great Britain,Visit to friends/relatives,6.1,111.0,61.0
2016,4,Great Britain,Visit to friends/relatives,5.0,83.0,54.0
2017,1,Great Britain,Visit to friends/relatives,5.3,73.0,56.0
2017,2,Great Britain,Visit to friends/relatives,4.9,82.0,55.0
2017,3,Great Britain,Visit to friends/relatives,6.2,105.0,58.0
2017,4,Great Britain,Visit to friends/relatives,4.7,85.0,56.0
2018,1,Great Britain,Visit to friends/relatives,5.2,62.0,53.0
2018,2,Great Britain,Visit to friends/relatives,4.9,85.0,52.0
2018,3,Great Britain,Visit to friends/relatives,6.0,95.0,55.0
2018,4,Great Britain,Visit to friends/relatives,4.7,72.0,54.0
2019,1,Great Britain,Visit to friends/relatives,5.3,56.0,50.0
2019,2,Great Britain,Visit to friends/relatives,5.1,78.0,54.0
2019,3,Great Britain,Visit to friends/relatives,6.1,105.0,56.0
2019,4,Great Britain,Visit to friends/relatives,4.3,72.0,52.0
2012,1,Italy,Business,5.7,3.0,2.0
2012,2,Italy,Business,6.6,2.0,2.0
2012,3,Italy,Business,5.8,2.0,2.0
2012,4,Italy,Business,17.9,4.0,3.0
2013,1,Italy,Business,11.2,6.0,2.0
2013,2,Italy,Business,11.4,5.0,3.0
2013,3,Italy,Business,11.2,3.0,2.0
2013,4,Italy,Business,7.0,5.0,3.0
2014,1,Italy,Business,12.4,4.0,3.0
2014,2,Italy,Business,3.6,4.0,4.0
2014,3,Italy,Business,5.5,4.0,3.0
2014,4,Italy,Business,13.7,7.0,3.0
2015,1,Italy,Business,3.0,5.0,3.0
2015,2,Italy,Business,6.9,5.0,4.0
2015,3,Italy,Business,17.3,4.0,2.0
2015,4,Italy,Business,10.7,6.0,3.0
2016,1,Italy,Business,4.0,4.0,4.0
2016,2,Italy,Business,12.4,11.0,4.0
2016,3,Italy,Business,10.9,4.0,2.0
2016,4,Italy,Business,6.5,6.0,4.0
2017,1,Italy,Business,7.3,5.0,3.0
2017,2,Italy,Business,11.4,15.0,5.0
2017,3,Italy,Business,6.7,7.0,3.0
2017,4,Italy,Business,18.0,8.0,3.0
2018,1,Italy,Business,7.9,5.0,3.0
2018,2,Italy,Business,4.9,6.0,3.0
2018,3,Italy,Business,9.9,4.0,2.0
2018,4,Italy,Business,27.1,8.0,3.0
2019,1,Italy,Business,19.6,5.0,2.0
2019,2,Italy,Business,6.2,7.0,4.0
2019,3,Italy,Business,10.4,9.0,5.0
2019,4,Italy,Business,9.2,4.0,4.0
2012,1,Italy,Holiday/leisure/recreation,4.0,12.0,7.0
2012,2,Italy,Holiday/leisure/recreation,5.3,20.0,5.0
2012,3,Italy,Holiday/leisure/recreation,7.2,19.0,3.0
2012,4,Italy,Holiday/leisure/recreation,3.9,8.0,3.0
2013,1,Italy,Holiday/leisure/recreation,3.5,10.0,5.0
2013,2,Italy,Holiday/leisure/recreation,6.1,12.0,3.0
2013,3,Italy,Holiday/leisure/recreation,7.5,25.0,4.0
2013,4,Italy,Holiday/leisure/recreation,7.9,8.0,4.0
2014,1,Italy,Holiday/leisure/recreation,3.9,7.0,5.0
2014,2,Italy,Holiday/leisure/recreation,5.4,12.0,4.0
2014,3,Italy,Holiday/leisure/recreation,10.6,24.0,4.0
2014,4,Italy,Holiday/leisure/recreation,4.9,8.0,5.0
2015,1,Italy,Holiday/leisure/recreation,3.9,8.0,5.0
2015,2,Italy,Holiday/leisure/recreation,4.5,18.0,4.0
2015,3,Italy,Holiday/leisure/recreation,7.9,38.0,5.0
2015,4,Italy,Holiday/leisure/recreation,4.8,13.0,5.0
2016,1,Italy,Holiday/leisure/recreation,3.5,8.0,4.0
2016,2,Italy,Holiday/leisure/recreation,5.1,22.0,4.0
2016,3,Italy,Holiday/leisure/recreation,7.8,45.0,5.0
2016,4,Italy,Holiday/leisure/recreation,6.0,9.0,3.0
2017,1,Italy,Holiday/leisure/recreation,4.2,12.0,5.0
2017,2,Italy,Holiday/leisure/recreation,5.8,26.0,4.0
2017,3,Italy,Holiday/leisure/recreation,7.3,46.0,5.0
2017,4,Italy,Holiday/leisure/recreation,4.9,12.0,4.0
2018,1,Italy,Holiday/leisure/recreation,3.6,16.0,5.0
2018,2,Italy,Holiday/leisure/recreation,4.9,27.0,4.0
2018,3,Italy,Holiday/leisure/recreation,7.4,55.0,5.0
2018,4,Italy,Holiday/leisure/recreation,4.3,18.0,5.0
2019,1,Italy,Holiday/leisure/recreation,5.5,12.0,4.0
2019,2,Italy,Holiday/leisure/recreation,5.5,19.0,3.0
